,id,created_at,order_id,name,variation_name,quantity,base_price_money,total_money
149,lUvPmFmN82JZPt1KvxNdcEm2uaB,2024-07-08 17:30:32.798,KzBsGJPGY4irJas6UOC9dOleV,,,1,5.0,5.0
150,Fy23GhkvyTyfwjtZCmSY0TkkvaB,2024-07-08 16:40:48.866,K5GLFru8LJdpxE2fGC5FLOveV,,,1,10.0,10.0
151,lGMdAvkkFBj8ye1O4RffUxeTvaB,2024-07-08 14:38:01.517,0eyRFODUQmYnb3U0ZshwMAgeV,Le Sserafim Easy (Random Ver.),Regular,1,36.95,36.95
152,VYLYRLG3IEJVkWpbcZx286ey7kNZY,2024-07-08 14:37:24.934,KflvI9AdjhcxnDe8jJPJUUFgCscZY,,,1,5.0,5.0
153,t2SfZjlo6GfOZglQvfiGtyhxlLQZY,2024-07-08 14:07:33.676,40IhfeIOekWlHpO8S6iApWY9kSUZY,BTS JungKook Golden (Random Ver.),Jungkook BTS,1,39.95,39.95
154,T7fz4COwCitLZjmMMHVmK2swuaB,2024-07-08 13:04:42.348,8G6Q1JTIVF6qU9cQOs07H7geV,,,1,15.0,15.0
155,1qIYStPARzCPPkKZIE2ShtnavaB,2024-07-07 12:42:36.218,Mo9BCktdnRDKERvHY7AgSjleV,Aespa Drama (Giant Ver.),Regular,1,36.95,36.95
156,bNYClpfPJmudTV74BerjIKexuaB,2024-07-04 17:16:23.411,UWk26tJ31tfVdpAj0wPQq3veV,,,1,5.0,5.0
157,JQ6Yt1BjZBgdtTyDYIq3C6hMuaB,2024-07-04 16:45:41.429,MQtPg3rgGtGOAZnuWWbIpE6eV,Seventeen - Seventeenth Heaven (Carat Ver.),Regular,1,34.95,34.95
158,PtfuSXNNQw3kfPvdh7sdH2UiuaB,2024-07-04 16:39:06.509,2b60mXmaQvoVrfmDqdFwEzheV,,,2,5.0,10.0
159,VyOnDt1ej9IZ1WTAUpkk8npJuaB,2024-07-04 16:38:40.867,Kn32uyb8zx8VHZd5hDxRW8leV,,,,,
160,Xl3z5VlLvZgu1uGMGMlEo80UvaB,2024-07-04 16:38:23.631,OR9VhwqodIz6xaO7ahX5dm4eV,,,,,
161,Boel4M8yyCAjGisBcFkLxhJsvaB,2024-07-04 12:51:16.896,yhc5xZ90bsokvIti9MWjw3zeV,,,4,5.0,20.0
162,zlWMWmTxOHQMhzkSr8Hb0odeuaB,2024-07-04 11:56:02.823,EsTAPlT2wkkvnNlbZM2aRwqeV,,,2,5.0,10.0
163,d66KssocQKM45OE4I1ESZjiPuaB,2024-07-03 16:53:28.069,WdxDm5wSUKId7Mf8uhyscCkeV,,,1,5.0,5.0
164,Fo1F0X7ZBUFt9fQ9MBzY4V4KuaB,2024-07-03 15:11:43.599,4qdglDhSQ2hWqF39DMkjFwkeV,,,1,5.0,5.0
165,1YnGhsi14iwIe8L7xWxWgwiD1kdZY,2024-07-03 14:05:54.648,8ovCv8oSAAix5lfmbfeiVXnLNTQZY,IU The Winning (Random Ver.) ,The Winning - Random Cover,1,39.95,39.95
166,3htJkhxArmNsPCPgWs4JZhtiDaJZY,2024-07-03 10:51:06.974,uJph6QWQzQaQ6g4nYrEhs1u5uh8YY,Paper Bag,Regular,1,1.0,1.0
167,7lGTLrgWu5RUSKxGETKauTzTuaB,2024-07-02 15:15:39.345,oqNAgqXUORsyL9Rjhc0gEy7eV,,,1,5.0,5.0
168,ZseJHhVDGrFqUx5KifrR6VBdvaB,2024-07-01 16:08:11.764,Eq6s9Wh4zTtxSMM6iB2rKH4eV,,,1,5.0,5.0
169,hoq57nMDQtdOT9nVKu1YgprBZ7DZY,2024-06-30 14:54:01.221,UCkdlmRUHYPpYrSEPv5hxkrsWuLZY,,,1,5.0,5.0
170,dO4YyANGHj46B6d3AxYd1hRw0ubZY,2024-06-30 14:50:12.686,sMzJd9DzdAsuwsVkzXjXo2gNPtUZY,Ateez The World EP.FIN : Will (Platform Ver.),Regular,1,23.95,23.95
171,l6arKjITBTQhuG7Z16avBexcgFEZY,2024-06-30 12:57:03.883,WN5JECh6TL2dnQgXHY6jD0Z277ZZY,,,1,5.0,5.0
172,BO9NPTWoaqwQgdZBl0q0cmhfuaB,2024-06-30 12:13:04.201,MsntKwURh2FsmgxgcTma3UleV,Ateez The World EP.FIN : Will (Random Ver.),Ateez,1,31.95,31.95
173,DHtnHLzCwQU4AOknN9MhLebb7GRZY,2024-06-29 13:45:50.753,WTkbe6sUlM5IAqGdkZaOQrcU5WMZY,Seventeen - Seventeenth Heaven (Carat Ver.),Regular,1,34.95,34.95
174,7LdZLgt5KV33szoUZb0GwIaO5x5YY,2024-06-29 13:41:31.731,mvWXlRnKdzZGTGQMya4UwocyuCTZY,Ateez The World EP.FIN : Will (Random Ver.),Ateez,1,31.95,31.95
175,BuLIxNgVtkwIkK4IEvfaArrauaB,2024-06-29 12:22:41.399,MUj14kReSWQ89E1dsyXFCyheV,,,1,10.0,10.0
176,LH79somYavfFYtXjzKyQVvXivaB,2024-06-29 12:18:57.233,AYiyG3zWcj5gOOEM4j1DJvveV,,,1,10.0,10.0
177,nvic9qj9kVWqDpliBXdgPwpsnd7YY,2024-06-28 17:05:41.694,Kl2qfldecaVfVG0N2yt1DDpTWwbZY,,,1,5.0,5.0
178,B0mEfYAAKSqOEMJ5bIAdUyEuvaB,2024-06-28 14:39:19.676,IUCuf5vWDoj1nPTfP6rFNyueV,,,1,5.0,5.0
179,TDZc9VoffT5vqCFWYCqkfljfvaB,2024-06-28 14:31:56.632,0QRozy4kBJ6GNh2ab2ESUCpeV,,,1,10.0,10.0
180,RosklJgT5BTQDuthbUZbwUW6vaB,2024-06-28 12:55:21.516,YetzjbXwtjA8XlxtslsMUI2eV,,,1,10.0,10.0
181,zRcqjZU3cRBq5JiNiX9j1mGxvaB,2024-06-27 16:16:40.320,O19Qj61tWPIMDEoIFMenUnteV,"Stray Kids Rock-Star (Rock, Roll Ver.) ",Regular,1,32.95,32.95
182,V4rU5q08Awb4DraKz3RxoRedeQQZY,2024-06-25 15:55:48.060,alq8b6lXUMKBcuXs8NtTIhj39eHZY,ITZY Born To Be (Standard Ver.),Regular,2,31.95,63.9
183,JOHjbfxFoCxYmQyifQMZOR7luaB,2024-06-25 11:05:21.552,OXMlMRRDPxiRr91Esdqj6lneV,Seventeen - Seventeenth Heaven (Carat Ver.),Regular,1,34.95,34.95
184,5Ik5tU5VuNEOBmG2KEn3HcuCurZZY,2024-06-23 15:36:04.426,KzXLr0MnCFrpGyvO02GKgLk0vhMZY,,,2,5.0,10.0
185,B0Ul2xGjSlq2tWrR7u2Fg0ej8FPZY,2024-06-23 14:44:46.722,qlAFygIye4Sai9BLKY1iADQBYkAZY,BTS Butter (Random Ver.),BTS,1,37.95,37.95
186,H9hCEkKHhIK8qWihTluK8vI0vaB,2024-06-23 14:41:35.352,cyuFqLIAbhV6Gf2srceRxEgeV,BTS Butter (Random Ver.),BTS,1,37.95,37.95
187,H9hCEkKHhIK8qWihTluK8vI0vaB,2024-06-23 14:41:35.352,cyuFqLIAbhV6Gf2srceRxEgeV,BTS V Layover (Random Ver.),Regular,2,39.95,79.9
188,1wP6SDyX7ZaoBpjElocQp1aqvaB,2024-06-23 14:34:33.975,kk3Yp4impHlDvePq6p7jbzieV,BTS JungKook Golden (Random Ver.),Jungkook BTS,1,39.95,39.95
189,1wP6SDyX7ZaoBpjElocQp1aqvaB,2024-06-23 14:34:33.975,kk3Yp4impHlDvePq6p7jbzieV,BTS V Layover (Random Ver.),Regular,1,39.95,39.95
190,dEtvBnkTFak5WYJGq4oBsAVrTWKZY,2024-06-23 14:23:02.256,AC7UWT9GVYe4Gvy6WrZnXOVmiZGZY,BTS JungKook Golden (Random Ver.),Jungkook BTS,1,39.95,39.95
191,dGqVX4ah50kdAV8oSFBydWlK4E8YY,2024-06-23 14:20:26.235,W1TMUggYNTUVIvR1b6Uf4PfH1iRZY,BTS JungKook Golden (Random Ver.),Jungkook BTS,1,39.95,39.95
